"ct","asymptDisp","extraPois"
"CD14+ Monocytes",0.432718039699077,0.0839651570757715
"CD8 T cells",0.173254690528531,0.076223083107047
"CD4 T cells",0.161689585532286,0.0550598413950292
"NK cells",0.167624240294431,0.0923664621013933
"FCGR3A+ Monocytes",0.16401537093442,0.156261283629469
"B cells",0.197091098773828,0.112593822692029
"Dendritic cells",0.164493702005907,0.178773199155745
